sr,open,high,low,close
1,67.7142,68.4014,66.8928,67.8542
2,68.0714,69.2771,67.6071,68.5614
3,68.5014,68.9114,66.8205,66.8428
4,66.7442,67.6628,66.1742,66.7156
5,66.3599,67.3771,66.2885,66.6556
6,66.9785,67.1656,65.7028,65.7371
7,65.8714,66.1042,64.8356,65.7128
8,65.3842,65.3842,64.1142,64.1214
9,63.7142,64.1671,63.2599,63.7228
10,64.1785,64.5142,63.7999,64.4014
11,64.8356,65.0171,63.2242,63.2571
12,63.4028,64.5056,62.5228,64.1385
13,64.0614,64.6342,62.9499,63.5099
14,63.4357,63.9814,63.0571,63.0571
15,62.5714,62.5971,61.4257,61.4957
16,61.1142,61.1714,59.8571,60.0071
17,60.2114,62.1699,60.1071,61.5919
18,62.0728,62.1785,60.6328,60.8088
19,60.6428,61.7157,60.1514,61.5117
20,61.3999,62.2042,61.2299,61.6742
21,61.3928,62.7157,60.7342,62.5528
22,62.2285,62.6971,61.0814,61.2042
23,61.2071,62.0714,60.7657,61.1928
24,61.8328,62.0914,61.4928,61.7857
25,62.5614,63.4614,62.4642,63.3799
26,63.0642,65.3514,63.0285,65.1028
27,65.6428,65.8528,64.0714,64.9271
28,65.3456,65.3756,64.2271,64.5828
29,64.3171,65.4256,64.2999,64.6756
30,64.9399,66.0142,64.7299,65.9871
31,66.3842,67.1356,65.9685,66.2256
32,66.4914,66.5485,65.7899,65.8765
33,65.2085,65.2571,64.3899,64.5828
34,64.2599,64.5455,63.0885,63.2371
35,63.1285,63.3854,61.1057,61.2728
36,61.0857,62.5914,60.9142,61.3988
37,61.6242,62.4685,61.4728,61.7128
38,61.9657,62.1428,60.7499,61.1028
39,60.6428,60.7071,59.9542,60.4571
40,60.6928,61.0714,60.3557,60.8871
41,60.9085,61.2142,60.3928,60.9971
42,61.1571,62.4371,60.8585,62.2414
43,61.9599,62.5699,61.5999,62.0471
44,62.0214,62.0214,61.2985,61.3999
45,60.9999,61.1271,59.9357,59.9785
46,60.2242,60.9442,60.0814,60.8914
47,60.0385,60.0857,56.8728,57.5428
48,57.8557,57.9699,55.6774,56.0071
49,55.4242,57.0857,55.0142,55.7899
50,56.0914,57.4571,55.8964,56.9528
51,57.7128,58.3401,56.9728,58.0185
52,56.2199,59.3214,56.0714,57.9231
53,58.7464,59.1342,58.1428,58.3399
54,58.5442,59.8241,58.3214,59.6007
55,60.0642,61.9452,59.9999,61.4457
56,62.1571,63.6071,61.7242,63.2542
57,63.4942,63.5614,62.0557,62.7557
58,63.1114,64.0842,62.9471,63.6457
59,64.4728,64.7471,64.1642,64.2828
60,65.1014,66.0285,64.9014,65.8156
61,66.4242,66.5356,64.8142,65.5225
62,65.5771,66.4814,65.1156,66.2628
63,65.6871,66.1428,65.0828,65.2528
64,65.4242,65.6728,64.3542,64.7099
65,64.5014,65.4142,64.4999,64.9628
66,64.8356,65.0285,63.1642,63.4085
67,62.7371,62.9999,60.3371,61.2642
68,60.4628,62.5499,59.8428,62.0825
69,62.7214,62.8699,61.5728,61.8942
70,61.7014,63.6857,61.4428,63.2757
71,62.5928,63.6399,62.0285,62.8085
72,63.4357,64.0499,62.6028,63.0505
73,62.2785,63.7371,62.2557,63.1628
74,62.9785,63.6657,62.9085,63.5928
75,64.2714,64.4442,62.9785,63.0627
76,62.8571,63.9285,62.7714,63.5642
77,63.6642,64.9285,63.5014,64.5114
78,64.6428,65.2999,64.2142,64.2478
79,64.3899,64.6228,63.2114,64.3885
80,64.7456,64.9185,63.9128,64.1871
81,63.6642,64.3885,63.3871,63.5871
82,63.6385,63.8571,62.0071,62.6371
83,62.3571,63.3199,61.8242,63.1158
84,63.5328,64.1541,62.3999,62.6985
85,62.2485,63.2514,61.9028,62.5142
86,62.7857,63.0357,61.6428,61.7414
87,61.7857,62.4485,61.2499,62.2807
88,62.1999,62.3271,61.2142,61.4357
89,61.6342,62.2428,61.4802,61.7142
90,61.6514,62.1285,61.4585,61.6814
91,61.6285,61.6657,60.4285,60.4285
92,59.8999,60.8542,59.3099,59.5482
93,59.7842,59.9999,58.3,59.0714
94,58.1999,58.3799,56.8642,57.5057
95,57.9571,58.2557,56.9757,57.5185
96,57.6999,57.8271,56.5228,56.8671
97,57.0357,57.3414,56.2199,56.2542
98,55.9085,57.1814,55.5528,56.6471
99,57.5271,58.8957,57.3171,58.4599
100,58.5657,60.2328,58.4957,59.7842
101,60.1228,60.4257,59.6357,60.1142
102,60.0557,60.4699,59.3357,59.6314
103,60.0157,60.1428,58.6642,59.2928
104,59.0857,60.4999,58.6257,60.3357
105,59.9428,60.6857,59.7499,60.1042
106,60.4214,61.1785,60.1671,61.0411
107,61.0928,61.3985,60.4871,60.9299
108,60.7157,61.6371,60.6857,61.0628
109,60.9314,61.5299,60.5957,61.4564
110,61.3857,61.7457,61.1742,61.4728
111,61.9114,62.1242,61.5157,61.6797
112,61.8714,61.9971,60.6214,60.7071
113,61.3514,61.3928,60.7811,60.9014
114,60.8571,60.9942,59.8157,59.8557
115,62.7042,63.5128,62.1799,62.9299
116,62.9571,63.0571,62.2585,62.6428
117,62.1857,63.0057,62.0485,62.9985
118,62.9714,64.2842,62.8857,63.9699
119,64.2799,65.3071,64.1757,64.7599
120,64.9985,65.3346,64.2042,64.6471
121,65.1075,65.2571,64.7514,65.2394
122,65.4299,66.1214,65.2371,66.0771
123,66.3842,67.2385,66.0214,67.0642
124,66.8599,67.4128,66.0242,66.4642
125,66.2571,66.7142,65.9671,66.4256
126,66.2649,66.2999,65.4214,65.8585
127,65.5199,65.7799,64.8071,64.9214
128,65.2656,66.9499,65.2328,66.7656
129,67.2771,70.6656,66.8642,69.9385
130,71.1256,72.0356,70.4856,71.2142
131,70.9171,71.7712,69.869,71.1299
132,71.4499,71.8485,71.2656,71.7614
133,72.0485,73.3914,71.9999,72.5342
134,72.8156,72.9385,71.5456,71.5814
135,71.9414,72.4499,71.5999,71.7656
136,72.1399,72.2271,71.1714,71.8514
137,71.8956,71.9071,71.3356,71.5742
138,71.5356,72.8856,71.4999,71.8528
139,71.1428,71.7871,69.4714,69.7985
140,69.4285,70.8285,69.4285,70.1279
141,70.2356,70.9285,70.1614,70.2428
142,70.2856,70.4214,69.4999,69.6022
143,70.4428,71.5142,69.6214,69.7971
144,71.3656,71.7485,70.8971,71.2415
145,71.4642,71.5256,70.5199,70.7528
146,71.2056,71.3399,69.9928,71.1742
147,72.1428,72.5599,71.9256,72.3099
148,72.3142,72.4928,69.9285,70.6628
149,66.7157,67.6699,66.4014,66.8156
150,66.9285,67.9142,66.5728,67.5271
151,67.0485,67.4041,66.3856,66.4142
152,65.8571,65.9442,63.8885,64.3028
153,63.9942,65.6728,63.9285,65.0456
154,66.1685,66.6214,65.8085,66.3828
155,67.2428,67.9756,67.0356,67.4714
